sentiment_numeric,word_count,num_stop_words,num_chars,num_punctuation_chars,category_gaming,category_movies,category_music,category_technology,hour,weekday,month,fear,anger,anticipation,trust,surprise,positive,negative,sadness,disgust,joy
0,7,1,40,0,0.0,0.0,1.0,0.0,20,6,7,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.25
0,10,0,42,0,0.0,0.0,1.0,0.0,19,6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,13,5,57,1,0.0,0.0,1.0,0.0,19,6,7,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,6,2,27,0,0.0,0.0,1.0,0.0,19,6,7,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
1,7,0,32,0,0.0,0.0,1.0,0.0,19,6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2,0,13,0,0.0,0.0,1.0,0.0,19,6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,3,0,11,0,0.0,0.0,1.0,0.0,19,6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,14,1,74,2,0.0,0.0,1.0,0.0,19,6,7,0.0,0.0,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.0,0.1111111111111111,0.0,0.2222222222222222
1,5,1,31,1,0.0,0.0,1.0,0.0,19,6,7,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5
0,8,2,45,0,0.0,0.0,1.0,0.0,19,6,7,0.2,0.2,0.26666666666666666,0.06666666666666667,0.0,0.06666666666666667,0.2,0.0,0.0,0.0
0,7,1,30,0,0.0,0.0,1.0,0.0,19,6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,0,6,1,0.0,0.0,1.0,0.0,19,6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,5,0,22,0,0.0,0.0,1.0,0.0,19,6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,6,1,32,0,0.0,0.0,1.0,0.0,19,6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2,1,15,1,0.0,0.0,1.0,0.0,18,6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,8,1,36,4,0.0,0.0,1.0,0.0,18,6,7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
-1,6,1,24,0,0.0,0.0,1.0,0.0,18,6,7,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
0,2,0,19,0,0.0,0.0,1.0,0.0,18,6,7,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333
0,8,0,35,0,0.0,0.0,1.0,0.0,18,6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,12,0,52,0,0.0,0.0,1.0,0.0,18,6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,9,4,42,0,0.0,0.0,1.0,0.0,18,6,7,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,8,3,47,0,0.0,0.0,1.0,0.0,18,6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,9,2,55,1,0.0,0.0,1.0,0.0,18,6,7,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333
0,23,0,111,1,0.0,0.0,1.0,0.0,18,6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,6,0,32,2,0.0,0.0,1.0,0.0,18,6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,7,0,31,1,0.0,0.0,1.0,0.0,18,6,7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,7,0,31,0,0.0,0.0,1.0,0.0,18,6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,0,13,0,0.0,0.0,1.0,0.0,18,6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,9,0,41,0,0.0,0.0,1.0,0.0,18,6,7,0.0,0.0,0.2,0.2,0.0,0.4,0.0,0.0,0.0,0.2
0,11,0,51,0,0.0,0.0,1.0,0.0,18,6,7,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
0,11,0,46,1,0.0,0.0,1.0,0.0,18,6,7,0.0,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.2
